response,context_0,speaker_0,context_1,speaker_1,context_2,speaker_2,context_3,speaker_3,context_4,speaker_4,context_5,speaker_5,context_6,speaker_6
"There she is. All right. Come on, Morty. Let's go.","Hey, Tom! We know when we're losing him. WE CAN HEAR THE BEEPS!",Beth,"Whoa! What is this on the floor? Some kind of literature for a really nice-looking nursing home. Hey, honey, crazy idea bad pitch let's put your dad here. Let's put your dad in a nursing home.",Jerry,"Okay, Let's not rehash that fight. I sense that you're busy and will now be on my way.",Jerry,Excuse me?,Beth,"Well, yeah, on horses.",Jerry,"Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery.",Beth,"Well, it's lunch. I mean, it's one of three meals that have existed for millennia.",Jerry
"Shit. Over-developed, under-developed. Bad songs are bad songs.","Wh-What do you think, Ice? Probably a little over-developed.",Rick,"You appear to be dying. I will make efforts to prevent this, but can promise nothing.",Birdperson,Birdperson?,Morty,Morty.,Birdperson,"Of course I do, silly!  Oh my God, daddy, I’m sorry I called you silly! I’m so sorry!  Heavenly head and cranial creator! Forgive my transgressions against family and community! May my chores complete me as I complete them!",Summer,"We’re so proud of you. But honestly, you don’t have to make dinner every night.",Jerry,"That’s wonderful, Summer!",Beth
McNuggets?,"That's my one-armed man! I'm not driven by avenging my dead family, Morty! That was fake. I-I-I'm driven by finding that McNugget sauce.",Rick,Szechuan?,Morty,"- Because that's -- that's what this is all about, Morty.",Rick,What are you talking about?,Morty,"- and do whatever I say, Morty, forever! And I'll -- I'll go out and I'll find some more of that ""Mulan"" Szechuan teriyaki dipping sauce, Morty. -",Rick,Oh.,Morty,"- and they'll take my side because I'm a hero, Morty. And now you're gonna have to go -",Rick
"Boom! Told you! In your face! He is ruining our child! Wait, what am I celebrating?",I done been notifying you. Have you not been getting the messages I've been leaving with Morty's grandfather?,Principal Vagina,What? Why didn't you notify us?,Beth,"The fact is, your son, Morty, has attended this school for a total of seven hours over the last two months.",Principal Vagina,"Oh, man.",Morty,"Come on, Morty. Please, Morty. You have to do it, Morty.",Rick,In my butt?,Morty,"And they'll fall right out of mine. I've done this too many times, Morty. I mean, you're young. Y-y-you've got your whole life ahead of you, and your anal cavity is still taut, yet malleable. You got to do it for grandpa, Morty. Y-  you've got to put these seeds inside your butt.",Rick
If we hurry we can set up camp in a sewer tunnel or something before the dogs completely take over.,- Dad! - Rick!,Morty,"Psst, Beth, Jerry, Summer.",Rick,This is why I choose to get C's.,Summer,I can't believe how mean snuffles got just because he's smart.,Jerry,"Well, it's possible that your dog became self-aware and made modifications on the cognition amplifier, then turned on Jerry, Beth, and Summer after learning about humanity's cruel subjugation of his species, but your guess is as good as mine, Morty.",Rick,"Oh, man, what's going on?",Morty,"Out of the frying pan dot, dot, dot, huh, Morty?",Rick
Ohhh my GOOOOODDDD!!!,Say it with me!,Rick,Ohhhh yeahhhh!,Morty,"Come on, here we go!",Rick,Ohhhh yeahhhh!,Morty,All right!,Rick,I say…  Let’s do it!,Rick,"What do you say, Rick?",Morty
"Alright, well, I'm gonna go get dressed for the dance.","Listen, Morty, I hate to break it to you, but what people call ""love"" is a chemical reaction that compels animals to breed. It hits hard, Morty, then it slowly fades, leaving you stranded in a failing marriage. I did it, your parents are gonna do it. Break the cycle, Morty. Rise above. Focus on science.",Rick,"Come on, Rick, don't talk about my parents like that.",Morty,"Jerry, it's your house, whatever you say it is is how it is,  but I think a blind man could see that Beth is looking for the door. I barely have a reason to care and even I noticed.",Rick,"My marriage is fine, thank you.",Jerry,"Sorry, please proceed with your story about banging my daughter in high school.  I'm not sure you want to take romantic advice from this guy, Morty, his marriage is hanging from a thread.",Rick,"I beg your pardon, Rick, INAPPROPRIATE.",Jerry,"I should get her pregnant, then she'll have to marry me.",Rick
"And I‘m lucky to have you and I never tell you that! You know, we will come out of this stronger as a family!",We’ll take our chances raising her without fancy new jobs outside of a potato-based religion.  And you know what? I’m sick of pretending that we’re together because of the kids in the first place! I married you because you’re the love of my life!,Jerry,"We’ve been waiting 16 years for our daughter to respect us, but the key is, it has to be “our” daughter, not this person she’s become.",Beth,I’m sorry?,Principal Vagina,Absolutely not.,Beth,"Thank you. This is all so overwhelming, but, uh… we can’t.",Jerry,That’s my dream! That’s my dream.,Beth,"Beth, we’d like to promote you from horse surgeon, straight past human surgeon, to “Head” of Medicine.",Principal Vagina
"Okay... so from now on, whatever we do we have to be certain.",Right.,All Summers,"Well if all of me knocked out all the Ricks, and you peed in all of your pants, doesn't that mean that we're all synchronized?",All Mortys,"Holy shit, now what?",All Summers,"Shh shh... I know where you are, you creepy old monster... I know how you think! Oh, is this where you think I'm going? You think I'm standing here? Well maybe you're right!",All Ricks,Jesus...,Vet,"Jerry, if you're not gonna help, get the fuck out of here! I will reach into heaven and yank your screaming deer soul back!",Beth,She normally works on horses.,Jerry
"Okay, have fun in what's left of my brain. I'm gonna transfer to yours. Oh, there's not enough room for all my genius, so I'm leaving you with my fear of wicker furniture, my desire to play the trumpet, my tentative plans to purchase a hat, and six years of improv workshops. Comedy comes in threes.","Mission accomplished, boys. Pull me out.",Rick,It's a trap! Abort! I'm still in his Shoney's! Repeat -- we never left his Shoney's!,Cornvelious Daniel,"True, but you can alter anything you want about a totally fabricated origin story.",Rick,What are you talking about? This is a memory. Y-You can't alter details of a memory.,Cornvelious Daniel,"Because the code you just uploaded wasn't actually my portal-gun formula, it was a virus giving me full control over the brainalyzer.",Rick,Why not?,Cornvelious Daniel,"Nope, they cannot.",Rick
"Right here, sweetie. I'm a pickle!","Morty, we have to get going, or we're gonna be late. Where's your grandpa?",Beth,"The reason anyone would do this is, if they could, which they can't, would be because they could, which they can't.",Pickle Rick,I-I'm just trying to figure out why you would do this. Why anyone would do this.,Morty,"Morty, stop digging for hidden layers and just be impressed. I'm a pickle.",Pickle Rick,"All right, well, do pickles live forever or --",Morty,I wouldn't be much of a pickle if I could.,Pickle Rick,"Well, can you move? Can you fly?",Morty
Are you okay?,The galactic government collapsed.,Jerry,"Jerry, what the hell is happening?!",Beth,No longer will the insects have domain over surface world!,Mr. Goldenfold,"Good pitches, kids. I'm almost proud. But watch closely as Grandpa topples an empire by changing a one to a zero.",Rick,"Ooh, or -- or reprogram their military portals to disintegrate their entire space fleet?",Morty,Are you going to set all their nukes to target each other?,Summer,Destroying the  galactic government.,Rick
"You can call me snuffles, Morty, and I'm going to miss you, too, very much.","I'm gonna miss you, snowball.",Morty,"Taking over the human's world will lead to nothing but more heartbreak, more cruelty. Instead, we will go to a new world and colonize it with a society of intelligent dogs, one that will not make the same mistakes as humanity and one where pet insurance will be mandatory.",Snuffles,We are not them! We are not them.,Snuffles,"To hell with my kingdom, bean counter. I would trade it all for my human's health and happiness.",Snuffles,Anything. Anything for my precious Morty.,Snuffles,"It's necessary for the plan, Morty. Don't even trip, dawg.",Rick,What?!,Morty
If you lay those deaths at my doorstep one more time...,I'm not the one that didn't want you back. Alan was!,Supernova,"You know,  I could have made a device to detect Doomnomitron from orbit like  that.",Rick,"Oh, o-okay. This again?",Morty,Doomnomitron was hiding here! He's a shapeshifter! Destroying Dorian 5 was the only way to kill him!,Supernova,"W-Wait, huh?",Morty,Nothing?! We exterminated a planet!,Alan,Nothing!,Supernova
"They're just robots, Morty! It's okay to shoot them! They're robots!","Oh, man. I mean, you know, I-I don't want to shoot nobody.",Morty,"I need to type in the coordinates to our home world, Morty. Cover me.",Rick,Whoooooo!,Morty,"Ooh! Oh, nice, Morty! The student becomes the teacher.",Rick,Don't think about it!,Rick,Aaaaah!,Morty,Ohhhhhh!,Morty
I don't want to talk about it!,Huh! You think you can control me with a haircut?,Jerry,"You're being very aggressive, Jerry. Perhaps tomorrow Dr. Scraps will solve that problem with a bit of surgery.",Snuffles,"Well, I'm not calling him that. That's ridiculous.",Jerry,"Dad, he wants to be called snowball.",Summer,"Snuffles, we didn't mean you any harm! This is a huge misunderstanding.",Jerry,"Oh, this is perfect, Morty. Look at that. He's getting sleepy. Just a little bit longer before he calls it a day. That's when we make our move.",Rick,You can run But you can't hide!,Scary Terry
"Wait, who said that?",A-am I talking right now?,Morty 2,Am I me? I think so.,Morty 1,Oh man... I don't feel good.,All Mortys,Were either of you guys uncertain about anything just now?,Rick,"Wait, what am I saying?",All Summers,What do you mean?,Summer 1,"Oh God, oh no, what did you guys just do?",All Ricks
"Yo, this is why.",What? Why not?,Rick,"Pfff. I ain’t worried about no Earth blowin’ up, man.",Ice-T,"Ice, I don’t want to be a negative Nelly or anything, but  if Morty doesn’t come back with my portal gun and I eat it out there, it’s, uh, kind of your problem too.",Rick,"Ah, hell no, man. You do your thing, but I can’t afford to get my pride wrapped up in your shame. You know what I’m sayin’?",Ice-T,"Well, do you think maybe, could you give me some help with it, or… ?",Rick,"Shit. Over-developed, under-developed. Bad songs are bad songs.",Ice-T,"Wh-What do you think, Ice? Probably a little over-developed.",Rick
Do not threaten her!,If you lay those deaths at my doorstep one more time...,Alan,I'm not the one that didn't want you back. Alan was!,Supernova,"You know,  I could have made a device to detect Doomnomitron from orbit like  that.",Rick,"Oh, o-okay. This again?",Morty,Doomnomitron was hiding here! He's a shapeshifter! Destroying Dorian 5 was the only way to kill him!,Supernova,"W-Wait, huh?",Morty,Nothing?! We exterminated a planet!,Alan
You should be.  Running around in a yellow t-shirt like you're not one of us? Disgraceful.,I-I totally get it. I-I'm so sorry.,Morty,"Morty, the Vindicators and I had a chat this morning and I'm afraid we need to make a little change.",Vance,"Vindicators, prepare for arrival.",Supernova,"Actually, Noob-Noob, you have a new mission.",Supernova,"Good morning. Looks like your grandpa had a long night. Crocubot, why don't you escort Mr. Sanchez to a more comfortable spot so that someone can...  clean up his diarrhea.",Supernova,"Oh, God.",Morty,Huh... no accounting for taste. I'm gonna go get a drink.,Rick
